Name,Team Name,Position,Age,Season,FIFA rating,Injury,Date of Injury,Date of return,Match1_before_injury_Result,Match1_before_injury_Opposition,Match1_before_injury_GD,Match1_before_injury_Player_rating,Match2_before_injury_Result,Match2_before_injury_Opposition,Match2_before_injury_GD,Match2_before_injury_Player_rating,Match3_before_injury_Result,Match3_before_injury_Opposition,Match3_before_injury_GD,Match3_before_injury_Player_rating,Match1_missed_match_Result,Match1_missed_match_Opposition,Match1_missed_match_GD,Match2_missed_match_Result,Match2_missed_match_Opposition,Match2_missed_match_GD,Match3_missed_match_Result,Match3_missed_match_Opposition,Match3_missed_match_GD,Match1_after_injury_Result,Match1_after_injury_Opposition,Match1_after_injury_GD,Match1_after_injury_Player_rating,Match2_after_injury_Result,Match2_after_injury_Opposition,Match2_after_injury_GD,Match2_after_injury_Player_rating,Match3_after_injury_Result,Match3_after_injury_Opposition,Match3_after_injury_GD,Match3_after_injury_Player_rating,Player_Avg_Rating_Before_Injury,Player_Avg_Rating_After_Injury,Avg_GD_Before_Injury,Avg_GD_Missed_Matches,Team_Performance_Drop_Index
Andy Carroll,Newcastle,Center Forward,31,2019/20,74.0,Muscle injury,"Jul 6, 2020","Jul 17, 2020",draw,Aston Villa,0.0,6.4,win,Bournemouth,3.0,6.4,Missing,,,,lose,Man City,-5.0,lose,Watford,-1.0,lose,Tottenham,-2.0,draw,Brighton,0.0,5.7,lose,Liverpool,-2.0,5.1,Missing,,,,6.4,5.4,1.5,-2.6666666666666665,4.166666666666666
Jamaal Lascelles,Newcastle,Center Back,27,2020/21,77.0,Hip injury,"Sep 28, 2020","Oct 16, 2020",win,West Ham,2.0,6.6,lose,Brighton,-3.0,5.6,draw,Tottenham,0.0,6.3,win,Burnley,2.0,Missing,,,Missing,,,lose,Man United,3.0,5.3,draw,Wolves,0.0,6.4,win,Everton,1.0,6.4,6.166666666666667,6.033333333333334,-0.3333333333333333,2.0,-2.3333333333333335
Jamaal Lascelles,Newcastle,Center Back,27,2020/21,77.0,Muscle fatigue,"Nov 22, 2020","Jan 17, 2021",win,Everton,1.0,6.4,lose,Southampton,-2.0,6.1,lose,Chelsea,-2.0,6.3,win,Crystal Palace,2.0,win,West Brom,1.0,lose,Leeds,-3.0,lose,Arsenal,-3.0,5.6,lose,Aston Villa,-2.0,5.6,lose,Leeds,-1.0,6.1,6.266666666666667,5.766666666666666,-1.0,0.0,-1.0
Jamaal Lascelles,Newcastle,Center Back,27,2020/21,77.0,Hamstring strain,"Jan 31, 2021","Feb 14, 2021",lose,Aston Villa,-2.0,5.6,lose,Leeds,-1.0,6.1,win,Everton,2.0,6.2,lose,Crystal Palace,-1.0,win,Southampton,1.0,Missing,,,lose,Chelsea,-2.0,7.1,lose,Man United,-2.0,5.3,draw,Wolves,0.0,7.6,5.966666666666666,6.666666666666667,-0.3333333333333333,0.0,-0.3333333333333333
Jamaal Lascelles,Newcastle,Center Back,27,2020/21,77.0,Foot injury,"Apr 4, 2021","Jun 1, 2021",draw,Aston Villa,0.0,7.4,lose,Brighton,-3.0,5.8,draw,Tottenham,-3.0,5.9,win,Burnley,1.0,win,West Ham,1.0,draw,Liverpool,0.0,Missing,,,,Missing,,,,Missing,,,,6.366666666666667,,-2.0,0.6666666666666666,-2.6666666666666665
Fabian Schär,Newcastle,Center Back,29,2020/21,79.0,Virus,"Nov 29, 2020","Dec 25, 2020",lose,Southampton,-2.0,6.1,lose,Chelsea,-2.0,5.8,Missing,,,,win,West Brom,1.0,lose,Leeds,-3.0,draw,Fulham,0.0,lose,Man City,-2.0,6.6,draw,Liverpool,0.0,7.6,lose,Leicester,-1.0,6.2,5.949999999999999,6.8,-2.0,-0.6666666666666666,-1.3333333333333335
Fabian Schär,Newcastle,Center Back,29,2020/21,79.0,Knee injury,"Feb 7, 2021","Apr 25, 2021",win,Everton,2.0,7.0,lose,Crystal Palace,-1.0,6.5,win,Southampton,1.0,5.4,lose,Chelsea,-2.0,lose,Man United,-2.0,draw,Wolves,0.0,Missing,,,,Missing,,,,Missing,,,,6.3,,0.6666666666666666,-1.3333333333333333,2.0
Ciaran Clark,Newcastle,Center Back,31,2020/21,76.0,Calf injury,"Jan 19, 2021","Jan 29, 2021",lose,Leicester,-1.0,6.4,lose,Sheffield,-1.0,6.6,lose,Arsenal,-3.0,5.4,lose,Aston Villa,-2.0,lose,Leeds,-1.0,Missing,,,win,Everton,2.0,6.2,lose,Crystal Palace,-1.0,6.5,Missing,,,,6.133333333333333,6.35,-1.6666666666666667,-1.5,-0.16666666666666674
Ciaran Clark,Newcastle,Center Back,31,2020/21,76.0,Knock,"Feb 4, 2021","Feb 14, 2021",win,Everton,2.0,6.2,lose,Crystal Palace,-1.0,6.5,Missing,,,,win,Southampton,1.0,Missing,,,Missing,,,lose,Chelsea,-2.0,6.1,lose,Man United,-2.0,6.0,draw,Wolves,0.0,6.3,6.35,6.133333333333333,0.5,1.0,-0.5
Javier Manquillo,Newcastle,Right Back,27,2020/21,75.0,Ankle injury,"Feb 7, 2021","Mar 10, 2021",win,Everton,2.0,6.5,lose,Crystal Palace,-1.0,6.2,win,Southampton,1.0,6.1,lose,Chelsea,-2.0,lose,Man United,-2.0,draw,Wolves,0.0,Missing,,,,lose,Brighton,-3.0,6.2,Missing,,,,6.266666666666666,6.2,0.6666666666666666,-1.3333333333333333,2.0
